state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,arrival_qty,price_unit,arrival_unit
Madhya Pradesh,Ratlam,A lot APMC,Onion,Onion,FAQ,2026-01-27,850.0,850.0,850.0,0.24100000000000002,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Ratlam,A lot APMC,Soyabean,Soyabeen,FAQ,2026-01-27,5121.0,5404.0,5404.0,2.382,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Ratlam,A lot APMC,Wheat,Wheat,FAQ,2026-01-27,2400.0,2642.0,2635.0,63.05800000000001,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Asalia,Asalia,FAQ,2026-01-27,4700.0,5910.0,5910.0,1.9280000000000002,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Bengal Gram(Gram)(Whole),Gram,FAQ,2026-01-27,4000.0,4550.0,4200.0,18.607,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Coriander(Leaves),Coriander,FAQ,2026-01-27,4976.0,9504.0,9504.0,4.2540000000000004,Rs./Bundle,Bundle
Madhya Pradesh,Shajapur,Agar APMC,Kabuli Chana(Chickpeas-White),Dollar Gram,FAQ,2026-01-27,3500.0,6700.0,6700.0,0.77,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Lentil(Masur)(Whole),Masur Dal,FAQ,2026-01-27,5300.0,7000.0,7000.0,7.944,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Mustard,Mustard,FAQ,2026-01-27,3500.0,6390.0,5500.0,42.660000000000004,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Onion,Onion,Non-FAQ,2026-01-27,500.0,1500.0,1500.0,1.343,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Potato,Potato,Non-FAQ,2026-01-27,450.0,450.0,450.0,1.35,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Soyabean,Soyabeen,FAQ,2026-01-27,2400.0,6000.0,5700.0,198.89200000000002,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Wheat,Wheat,Non-FAQ,2026-01-27,2420.0,2440.0,2440.0,43.952,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Shajapur,Agar APMC,Wheat,Wheat,FAQ,2026-01-27,2409.0,2591.0,2456.0,124.825,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Panna,Ajaygarh APMC,Bengal Gram(Gram)(Whole),Desi (F.A.Q. Split),FAQ,2026-01-27,5300.0,5350.0,5350.0,8.0,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Panna,Ajaygarh APMC,Green Peas,Pea,FAQ,2026-01-27,3790.0,3810.0,3800.0,10.200000000000001,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Panna,Ajaygarh APMC,Red gram/Arhar/Tur(whole),Arhar Dal(Tur),FAQ,2026-01-27,6860.0,7000.0,7000.0,9.8,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Panna,Ajaygarh APMC,"Sesamum(Sesame,Gingelly,Til)",Sesame,FAQ,2026-01-27,8010.0,8020.0,8010.0,5.84,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Panna,Ajaygarh APMC,Wheat,Mill Quality,FAQ,2026-01-27,2500.0,2515.0,2515.0,10.0,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Bhind,Alampur APMC,Paddy(Common),Paddy,Non-FAQ,2026-01-27,3400.0,3450.0,3450.0,11.5,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Bhind,Alampur APMC,Wheat,Mill Quality,Non-FAQ,2026-01-27,2446.0,2449.0,2448.0,16.0,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Bhind,Alampur APMC,Wheat,Wheat,Non-FAQ,2026-01-27,2450.0,2467.0,2467.0,5.0,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Alirajpur,Alirajpur APMC,Cotton,Without Ginned Cotton,FAQ,2026-01-27,4500.0,7200.0,7200.0,9.9,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Alirajpur,Alirajpur APMC,Groundnut,Big (With Shell),FAQ,2026-01-27,4500.0,5150.0,4500.0,18.5,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Alirajpur,Alirajpur APMC,Groundnut,Big (With Shell),Non-FAQ,2026-01-27,4000.0,4400.0,4000.0,14.5,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Satna,Amarpatan APMC,Wheat,Mill Quality,FAQ,2026-01-27,2410.0,2460.0,2450.0,30.210000000000004,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Chhindwara,Amarwda APMC,Kutki,Kutki,FAQ,2026-01-27,4685.0,4711.0,4711.0,15.700000000000001,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Chhindwara,Amarwda APMC,Maize,Local,Non-FAQ,2026-01-27,1501.0,1660.0,1625.0,118.4,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Chhindwara,Amarwda APMC,Maize,Local,FAQ,2026-01-27,1400.0,1700.0,1600.0,931.622,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Chhindwara,Amarwda APMC,Maize,Yellow,FAQ,2026-01-27,1400.0,1724.0,1575.0,463.57,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Chhindwara,Amarwda APMC,Maize,Yellow,Non-FAQ,2026-01-27,1500.0,1590.0,1550.0,72.10000000000001,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Morena,Ambaha APMC,Bajra(Pearl Millet/Cumbu),Millet,Non-FAQ,2026-01-27,1850.0,1900.0,1870.0,33.2,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Morena,Ambaha APMC,Wheat,Wheat,Non-FAQ,2026-01-27,2450.0,2500.0,2480.0,18.7,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Badwani,Anjad APMC,Cotton,Without Ginned Cotton,FAQ,2026-01-27,6600.0,8010.0,8010.0,49.35,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Badwani,Anjad APMC,Maize,Local,Non-FAQ,2026-01-27,1200.0,1200.0,1200.0,1.8399999999999999,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Badwani,Anjad APMC,Maize,Yellow,FAQ,2026-01-27,1400.0,1650.0,1650.0,127.4,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Badwani,Anjad APMC,Maize,Local,FAQ,2026-01-27,1400.0,1675.0,1500.0,238.09000000000003,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Badwani,Anjad APMC,Wheat,Mill Quality,FAQ,2026-01-27,2500.0,2500.0,2500.0,6.055,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Guna,Aron APMC,Bengal Gram(Gram)(Whole),Gram,FAQ,2026-01-27,5230.0,5320.0,5320.0,0.38,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Guna,Aron APMC,Maize,Local,FAQ,2026-01-27,1250.0,1822.0,1480.0,1446.049,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Guna,Aron APMC,Maize,Local,Non-FAQ,2026-01-27,1380.0,1580.0,1580.0,49.73500000000001,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Guna,Aron APMC,Wheat,Wheat,FAQ,2026-01-27,2400.0,2500.0,2405.0,44.661,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Ashoknagar,Ashoknagar APMC,Bengal Gram(Gram)(Whole),Gram,FAQ,2026-01-27,4400.0,5500.0,5000.0,53.49600000000001,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Ashoknagar,Ashoknagar APMC,Coriander(Leaves),Coriander,FAQ,2026-01-27,8550.0,9710.0,9710.0,4.885000000000001,Rs./Bundle,Bundle
Madhya Pradesh,Ashoknagar,Ashoknagar APMC,Green Peas,Pea,FAQ,2026-01-27,2100.0,4170.0,2100.0,2.4000000000000004,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Ashoknagar,Ashoknagar APMC,Lak(Teora),Tiwada,FAQ,2026-01-27,2400.0,3405.0,3340.0,14.248,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Ashoknagar,Ashoknagar APMC,Lentil(Masur)(Whole),Masur Dal,FAQ,2026-01-27,4950.0,6000.0,6000.0,0.19,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Ashoknagar,Ashoknagar APMC,Maize,Local,FAQ,2026-01-27,700.0,1825.0,1500.0,1792.667,Rs./Quintal,Metric Tonnes
Madhya Pradesh,Ashoknagar,Ashoknagar APMC,Mustard,Mustard,FAQ,2026-01-27,1800.0,6715.0,6715.0,16.827,Rs./Quintal,Metric Tonnes
